Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
43,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
41,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
42,correto,P-correto,VP,1,1,0.4999421229308948,0.9997685185185186,0.6665637780692955
